dt,AverageTemperature,AverageTemperatureUncertainty,Country
1792-03-01,2149,2434,Austria
1792-04-01,7.2109999999999985,2814,Austria
1792-05-01,10.469000000000001,1646,Austria
1792-06-01,15249,1123,Austria
1792-07-01,16834,2773,Austria
1792-08-01,16043,2015,Austria
1792-09-01,11095,3706,Austria
1792-10-01,6322,1854,Austria
1792-11-01,885,3664,Austria
1792-12-01,-3016,3751,Austria
1793-01-01,-6.367999999999999,5.13,Austria
1793-02-01,-1129,5725,Austria
1793-03-01,1003,4376,Austria
1793-04-01,4.0360000000000005,2.81,Austria
1793-05-01,10128,1724,Austria
1793-06-01,13.337000000000002,4397,Austria
1793-07-01,17762,6539,Austria
1793-08-01,16683,5941,Austria
1793-09-01,11593,2978,Austria
1793-10-01,8236,3757,Austria
1793-11-01,2233,6.1389999999999985,Austria
1793-12-01,-904,3674,Austria
1794-01-01,-2.7510000000000003,6629,Austria
1794-02-01,0.4730000000000003,8513,Austria
1794-03-01,3667,1.6469999999999998,Austria
1794-04-01,9703,2.33,Austria
1794-05-01,12.29,3867,Austria
1794-06-01,15.494000000000002,5.6389999999999985,Austria
1794-07-01,18847,7607,Austria
1794-08-01,14683,2968,Austria
1794-09-01,10054,2319,Austria
1794-10-01,6142,2202,Austria
1794-11-01,1.7930000000000001,2835,Austria
1794-12-01,-4044,3181,Austria
1795-01-01,-10447,7.0310000000000015,Austria
1795-02-01,-3.52,9477,Austria
1795-03-01,1143,2858,Austria
1795-04-01,8.193999999999999,2675,Austria
1795-05-01,11.470999999999998,5561,Austria
1795-06-01,15251,2167,Austria
1795-07-01,14013,3778,Austria
1795-08-01,15.93,3131,Austria
1795-09-01,12272,4525,Austria
1795-10-01,9.76,4159,Austria
1795-11-01,-381,3263,Austria
1795-12-01,-0.5959999999999996,3.3510000000000004,Austria
1796-01-01,0.7859999999999996,3676,Austria
1796-02-01,-1.31,1.2990000000000002,Austria
1796-03-01,-1957,3427,Austria
1796-04-01,4493,1436,Austria
1796-05-01,11208,1132,Austria
1796-06-01,14.43,4712,Austria
1796-07-01,16008,2914,Austria
1796-08-01,15.892999999999999,5.0280000000000005,Austria
1796-09-01,13839,5436,Austria
1796-10-01,6.518000000000002,1939,Austria
1796-11-01,669,4038,Austria
1796-12-01,-5.2799999999999985,6056,Austria
1797-01-01,-3.3150000000000004,9343,Austria
1797-02-01,-1089,3.13,Austria
1797-03-01,-0.052999999999999936,2264,Austria
1797-04-01,7.877999999999999,4457,Austria
1797-05-01,14.15,3192,Austria
1797-06-01,13922,2424,Austria
1797-07-01,17976,2634,Austria
1797-08-01,17404,3.0860000000000003,Austria
1797-09-01,13728,4.5710000000000015,Austria
1797-10-01,7197,2508,Austria
1797-11-01,2282,3698,Austria
1797-12-01,-1.4309999999999998,4098,Austria
1798-01-01,-3.2540000000000004,2011,Austria
1798-02-01,-0.17599999999999993,2273,Austria
1798-03-01,1755,2372,Austria
1798-04-01,6767,1873,Austria
1798-05-01,12.129000000000001,4842,Austria
1798-06-01,15525,2003,Austria
1798-07-01,16441,3026,Austria
1798-08-01,16.570999999999998,6251,Austria
1798-09-01,13.699000000000002,4523,Austria
1798-10-01,5.997000000000001,3502,Austria
1798-11-01,216,3629,Austria
1798-12-01,-7193,2924,Austria
1799-01-01,-9744,3.2880000000000003,Austria
1799-02-01,-3676,3826,Austria
1799-03-01,0.10099999999999998,3159,Austria
1799-04-01,4.7799999999999985,4.9060000000000015,Austria
1799-05-01,10313,1706,Austria
1799-06-01,12838,3638,Austria
1799-07-01,15.22,3113,Austria
1799-08-01,15966,969,Austria
1799-09-01,11505,3199,Austria
1799-10-01,6.667000000000002,2273,Austria
1799-11-01,1014,2655,Austria
1799-12-01,-7004,1978,Austria
1800-01-01,-3.4400000000000004,2278,Austria
1800-02-01,-2.9989999999999997,5151,Austria
1800-03-01,-2909,4128,Austria
1800-04-01,11757,2305,Austria
1800-05-01,13.55,1648,Austria
1800-06-01,12457,1506,Austria
1800-07-01,15468,2229,Austria
1800-08-01,16.7,3292,Austria
1800-09-01,12195,3107,Austria
1800-10-01,5.848000000000001,3.24,Austria
1800-11-01,2.7030000000000003,3.3080000000000003,Austria
1800-12-01,-2516,2917,Austria
1801-01-01,-2.5989999999999998,2174,Austria
1801-02-01,-2737,1349,Austria
1801-03-01,3616,2061,Austria
1801-04-01,6.877000000000001,2522,Austria
1801-05-01,13.504000000000001,2517,Austria
1801-06-01,13354,2204,Austria
1801-07-01,15.854000000000001,3513,Austria
1801-08-01,14413,2269,Austria
1801-09-01,13.267999999999999,1964,Austria
1801-10-01,8427,1266,Austria
1801-11-01,3.1439999999999997,1808,Austria
1801-12-01,-2274,5532,Austria
1802-01-01,-6657,2.71,Austria
1802-02-01,-3.0060000000000002,1829,Austria
1802-03-01,1.5530000000000002,2693,Austria
1802-04-01,6.5379999999999985,3012,Austria
1802-05-01,10155,2782,Austria
1802-06-01,15562,2237,Austria
1802-07-01,16.157999999999998,2362,Austria
1802-08-01,17.881999999999994,2412,Austria
1802-09-01,12195,3912,Austria
1802-10-01,9783,4202,Austria
1802-11-01,2356,2.5860000000000003,Austria
1802-12-01,-1997,2607,Austria
1803-01-01,-6815,3803,Austria
1803-02-01,-6266,3569,Austria
1803-03-01,506,3415,Austria
1803-04-01,8901,2.79,Austria
1803-05-01,9.25,2139,Austria
1803-06-01,13.71,1.37,Austria
1803-07-01,16.692999999999998,1665,Austria
1803-08-01,16198,2748,Austria
1803-09-01,9663,1389,Austria
1803-10-01,5.768000000000002,3283,Austria
